name,files,tags,Slang,tree_sitter_verilog,Verilator,Yosys,Odin,sv_parser,Icarus,Sv2v_zachjs
utd-sv_lsu_stb_ctldp,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/lsu_stb_ctldp.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_fpu_in2_gt_in1_frac,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/fpu_in2_gt_in1_frac.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_sparc_ifu_sscan,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sparc_ifu_sscan.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_cpx_buf_p4_even,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/cpx_buf_p4_even.v,utd-sv,True,True,False,True,True,False,False,False
utd-sv_cpx_dp_array,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/cpx_dp_array.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_ctu_clsp_clkgn_clksw,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ctu_clsp_clkgn_clksw.v,utd-sv,False,True,False,True,False,False,False,True
utd-sv_sparc_exu_ecl_cnt6,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sparc_exu_ecl_cnt6.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_sctag_pcx_rptr_2,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_pcx_rptr_2.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_sctag_vuad_ctl,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_vuad_ctl.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_pcx_buf_pm_odd,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/pcx_buf_pm_odd.v,utd-sv,True,True,False,True,True,False,False,False
utd-sv_cpx_datacx2_ff,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/cpx_datacx2_ff.v,utd-sv,False,False,False,True,False,False,False,False
utd-sv_sctag_sig_rptr,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_sig_rptr.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_scbuf_evict,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/scbuf_evict.v,utd-sv,False,True,False,True,False,False,False,True
utd-sv_ucb_flow_jbi,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ucb_flow_jbi.v,utd-sv,False,False,False,True,False,False,False,False
utd-sv_mod-param-dec,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/mod-param-dec.v,utd-sv,True,False,False,True,False,True,False,True
utd-sv_cpx_dp0,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/cpx_dp0.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_sparc_exu_ecl_divcntl,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sparc_exu_ecl_divcntl.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_tlu_prencoder16,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/tlu_prencoder16.v,utd-sv,True,True,False,True,True,False,False,True
utd-sv_ctu_bottom_rptr,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ctu_bottom_rptr.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_pad_jbusr,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/pad_jbusr.v,utd-sv,False,True,False,True,False,False,False,False
